Name,Year,Genre,Publisher,North America,Europe,Japan,Other,Global
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",2007,Action,Activision,0.63,0.37,0,0.11,1.11
Guitar Hero Encore: Rocks The 80s,2007,Misc,RedOctane,0.92,0.04,0,0.15,1.11
Rock Band,N/A,Misc,Electronic Arts,0.71,0.06,0,0.35,1.11
NBA Live 2001,2001,Sports,Electronic Arts,0.52,0.4,0.04,0.13,1.1
SingStar Legends,2006,Misc,Sony Computer Entertainment,0.12,0.75,0,0.23,1.1
SingStar Rocks!,2006,Misc,Sony Computer Entertainment,0,0.84,0,0.25,1.1
Yakuza 2,2006,Adventure,Sega,0.05,0.04,0.84,0.16,1.09
The Godfather,2006,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09
Star Wars: Bounty Hunter,2002,Shooter,LucasArts,0.53,0.42,0,0.14,1.09
NASCAR Thunder 2004,2003,Racing,Electronic Arts,0.53,0.41,0,0.14,1.08
SpongeBob SquarePants: Revenge of the Flying Dutchman,2002,Platform,THQ,0.53,0.41,0,0.14,1.08
Fisherman's Bass Club,2002,Sports,Agetec,0.53,0.41,0,0.14,1.08
Tom Clancy's Ghost Recon 2,2004,Shooter,Ubisoft,0.64,0.34,0,0.1,1.08
Call of Duty 3,2006,Shooter,Activision,0.89,0.03,0,0.15,1.07
WWE SmackDown vs. Raw 2010,2009,Fighting,THQ,0.53,0.01,0,0.54,1.07
SoulCalibur III,2005,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07
Mortal Kombat: Armageddon,2006,Fighting,Midway Games,0.88,0.04,0,0.14,1.06
Freekstyle,2002,Racing,Electronic Arts,0.52,0.41,0,0.14,1.06
NBA Street V3,2005,Sports,Electronic Arts,0.52,0.41,0,0.14,1.06
Hulk,2003,Action,Universal Interactive,0.52,0.41,0,0.14,1.06
Seek and Destroy,2002,Racing,Play It,0.52,0.4,0,0.14,1.06
NBA 2K3,2002,Sports,Sega,0.51,0.4,0,0.13,1.05
MVP Baseball 2003,2003,Sports,Electronic Arts,0.51,0.4,0,0.13,1.04
Dance Dance Revolution SuperNOVA,2006,Simulation,Konami Digital Entertainment,0.87,0.03,0,0.14,1.04
MX vs. ATV Unleashed,2005,Racing,THQ,0.86,0.03,0,0.14,1.03
NCAA March Madness 2004,2003,Sports,Electronic Arts,0.5,0.39,0,0.13,1.03
Harry Potter and the Prisoner of Azkaban,2004,Action,Electronic Arts,0.5,0.39,0,0.13,1.02
Ford Racing 2,2003,Racing,Empire Interactive,0.49,0.38,0,0.13,1
Dead or Alive 2,2000,Fighting,Tecmo Koei,0.3,0.24,0.38,0.08,1
Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,2004,Misc,Sammy Corporation,0,0,1,0,1
Dynasty Warriors 3: Xtreme Legends,2002,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1
The Bouncer,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99
Suikoden III,N/A,Role-Playing,Unknown,0.29,0.23,0.38,0.08,0.98
Madden NFL 10,2009,Sports,Electronic Arts,0.88,0,0,0.1,0.98
NHL 2004,2003,Sports,Electronic Arts,0.47,0.37,0,0.12,0.97
Grand Theft Auto: Vice City Stories,2007,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.97
Dark Cloud 2,2002,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96
NHL 2001,2000,Sports,Electronic Arts,0.47,0.37,0,0.12,0.96
Shinobi,2002,Platform,Sony Computer Entertainment,0.36,0.28,0.22,0.09,0.96
Wheel of Fortune,N/A,Misc,Unknown,0.47,0.36,0,0.12,0.95
World Championship Poker,2004,Misc,Play It,0.8,0.03,0,0.13,0.95
Tom Clancy's Splinter Cell: Chaos Theory,2005,Action,Ubisoft,0.36,0.45,0,0.14,0.95
Kessen,2000,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95
Killzone,2004,Shooter,Sony Computer Entertainment,0.79,0.03,0,0.13,0.94
Colin McRae Rally 04,2003,Racing,Codemasters,0.01,0.71,0.01,0.21,0.94
Castlevania: Lament of Innocence,2003,Action,Konami Digital Entertainment,0.46,0.36,0,0.12,0.94
Destroy All Humans!,2005,Shooter,THQ,0.78,0.03,0,0.13,0.94
Bully,2006,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94
Hot Shots Golf Fore!,2003,Sports,Sony Computer Entertainment,0.46,0.36,0,0.12,0.94
MLB 06: The Show,2006,Sports,Sony Computer Entertainment,0.78,0.03,0,0.13,0.94
NHL 2003,2002,Sports,Electronic Arts,0.46,0.36,0,0.12,0.93
MLB 07: The Show,2007,Sports,Sony Computer Entertainment,0.77,0.03,0,0.13,0.93
Teenage Mutant Ninja Turtles,2003,Action,Konami Digital Entertainment,0.45,0.35,0,0.12,0.92
Top Gun: Combat Zones,2001,Simulation,Titus,0.45,0.35,0,0.12,0.92
Starsky & Hutch,2003,Racing,Empire Interactive,0.45,0.35,0,0.12,0.92
Street Hoops,2002,Sports,Activision,0.45,0.35,0,0.12,0.91
Knockout Kings 2002,2002,Sports,Electronic Arts,0.45,0.35,0,0.12,0.91
Tokyo Xtreme Racer 3,2003,Racing,Genki,0.35,0.27,0.21,0.09,0.91
Tiger Woods PGA Tour 2002,2002,Sports,Electronic Arts,0.44,0.35,0,0.12,0.9
MLB 2005,2004,Sports,Sony Computer Entertainment,0.44,0.35,0,0.12,0.9
Burnout Revenge,2005,Racing,Electronic Arts,0.75,0.03,0,0.12,0.9
Hot Shots Tennis,2006,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9
Spider-Man 3,2007,Platform,Activision,0.74,0.03,0.01,0.12,0.9
Harry Potter: Quidditch World Cup,2003,Sports,Electronic Arts,0.44,0.34,0,0.11,0.9
Blitz: The League,2005,Sports,Unknown,0.74,0.03,0,0.12,0.89
Tiger Woods PGA Tour 06,2005,Sports,Electronic Arts,0.74,0.03,0,0.12,0.89
NFL 2K2,2001,Sports,Sega,0.44,0.34,0,0.11,0.89
SingStar Anthems,2006,Misc,Sony Computer Entertainment,0,0.68,0,0.2,0.89
NBA 2K6,2005,Action,Take-Two Interactive,0.43,0.34,0,0.11,0.88
Buzz! The Mega Quiz,2007,Misc,Sony Computer Entertainment,0.32,0.06,0,0.5,0.88
ESPN NHL 2K5,2004,Sports,Global Star,0.43,0.33,0,0.11,0.88
Kingdom Hearts Re: Chain of Memories,2008,Role-Playing,Square Enix,0.73,0.03,0,0.12,0.87
Tony Hawk's Project 8,2006,Sports,Activision,0.72,0.03,0,0.12,0.87
Fight Night Round 2,2005,Fighting,Electronic Arts,0.72,0.03,0,0.12,0.87
Triple Play 2002,2002,Sports,Electronic Arts,0.43,0.33,0,0.11,0.87
Warriors Orochi,2007,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87
SingStar '90s,2007,Misc,Sony Computer Entertainment,0.1,0.59,0,0.18,0.87
Rocky,2002,Fighting,Rage Software,0.42,0.33,0,0.11,0.86
Dynasty Warriors 4: Xtreme Legends,2003,Action,Tecmo Koei,0.17,0.13,0.51,0.04,0.86
Ratatouille,2007,Action,THQ,0.31,0,0,0.53,0.85
Burnout 2: Point of Impact,2002,Racing,Acclaim Entertainment,0.42,0.32,0,0.11,0.85
Street Fighter EX3,2000,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85
ATV Quad Power Racing 2,2003,Racing,Acclaim Entertainment,0.41,0.32,0,0.11,0.84
Big Mutha Truckers,2002,Racing,Empire Interactive,0.41,0.32,0,0.11,0.84
Rogue Galaxy,2005,Role-Playing,Sony Computer Entertainment,0.24,0.16,0.39,0.05,0.84
ESPN College Hoops 2K5,2004,Sports,Sega,0.41,0.32,0,0.11,0.84
Ben 10: Protector of Earth,2007,Action,D3Publisher,0.09,0,0,0.74,0.84
Dynasty Warriors 2,2000,Action,THQ,0.24,0.19,0.34,0.06,0.83
FIFA Soccer World Championship,2000,Sports,Electronic Arts,0.27,0.21,0.28,0.07,0.83
Sly 3: Honor Among Thieves,2005,Platform,Sony Computer Entertainment,0.69,0.03,0,0.11,0.83
MLB SlugFest 20-03,N/A,Sports,Unknown,0.41,0.32,0,0.11,0.83
Marvel: Ultimate Alliance,2006,Role-Playing,Activision,0.69,0.03,0,0.11,0.82
Rocket Power: Beach Bandits,2002,Platform,THQ,0.4,0.31,0,0.1,0.82
Shin Megami Tensei: Persona 4,2008,Role-Playing,Atlus,0.34,0.04,0.36,0.08,0.82
Ready 2 Rumble Boxing: Round 2,2000,Fighting,Midway Games,0.4,0.31,0,0.1,0.81
Tom Clancy's Rainbow Six 3,2004,Shooter,Ubisoft,0.4,0.31,0,0.1,0.81
Final Fantasy XI: Wings of the Goddess,2007,Role-Playing,Square Enix,0.35,0.27,0.09,0.09,0.81
The Sims 2,2005,Simulation,Electronic Arts,0.67,0.03,0,0.11,0.81
Yakuza,2005,Action,Sega,0.03,0.02,0.74,0.01,0.8
Hitman: Contracts,2004,Shooter,Eidos Interactive,0.39,0.31,0,0.1,0.8
Tales of Destiny 2,2002,Role-Playing,Namco Bandai Games,0,0,0.8,0,0.8
Dragon Ball Z: Budokai Tenkaichi 2,2006,Fighting,Atari,0.66,0.02,0,0.11,0.79
Guitar Hero: Aerosmith,2008,Misc,Activision,0.61,0,0,0.18,0.79
Dance Dance Revolution SuperNOVA 2,2007,Simulation,Konami Digital Entertainment,0.64,0.03,0.02,0.1,0.79
Armored Core 2,2000,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79
NCAA Football 08,2007,Sports,Electronic Arts,0.65,0.03,0,0.11,0.79
Buzz! The Hollywood Quiz,2007,Misc,Sony Computer Entertainment,0.17,0,0,0.61,0.78
NBA 2K7,2006,Sports,Take-Two Interactive,0.65,0.02,0,0.11,0.78
Marvel Nemesis: Rise of the Imperfects,2005,Fighting,Electronic Arts,0.64,0.02,0,0.1,0.77
Conflict: Desert Storm II - Back to Bagdhad,2003,Shooter,SCi,0.38,0.29,0,0.1,0.77
Maximo: Ghosts to Glory,2001,Platform,Capcom,0.38,0.29,0,0.1,0.77
All-Star Baseball 2003,2002,Sports,Acclaim Entertainment,0.38,0.29,0,0.1,0.77
Unlimited Saga,2002,Role-Playing,Atari,0.1,0.08,0.56,0.03,0.77
Cabela's Deer Hunt: 2004 Season,2003,Sports,Activision Value,0.37,0.29,0,0.1,0.76
Sonic Unleashed,2008,Platform,Sega,0.37,0.04,0,0.36,0.76
Mercenaries: Playground of Destruction,2005,Action,LucasArts,0.64,0.02,0,0.1,0.76
MTV Celebrity Deathmatch,2003,Fighting,Gotham Games,0.37,0.29,0,0.1,0.76
Taiko no Tatsujin: Tatakon de Dodon ga Don,2002,Misc,Namco Bandai Games,0,0,0.76,0,0.76
Syphon Filter: The Omega Strain,2004,Shooter,Sony Computer Entertainment,0.37,0.29,0,0.1,0.76
FIFA Soccer 11,2010,Sports,Electronic Arts,0.11,0.29,0,0.36,0.76
Marvel vs. Capcom 2: New Age of Heroes,2002,Fighting,Capcom,0.31,0.24,0.13,0.08,0.76
True Crime: New York City,2005,Action,Activision,0.57,0.02,0.07,0.09,0.76
Legends of Wrestling,2001,Fighting,Acclaim Entertainment,0.37,0.29,0,0.1,0.76
Wall-E,2008,Platform,THQ,0.21,0,0,0.54,0.75
Shark Tale,2004,Action,Activision,0.37,0.29,0,0.1,0.75
Zone of the Enders,2001,Shooter,Konami Digital Entertainment,0.3,0.24,0.13,0.08,0.75
Capcom vs. SNK 2: Mark of the Millennium 2001,2001,Fighting,Capcom,0.22,0.17,0.3,0.06,0.75
MVP 06 NCAA Baseball,2006,Sports,Electronic Arts,0.62,0.02,0,0.1,0.75
Jampack Summer 2001,2001,Misc,Sony Computer Entertainment,0.36,0.28,0,0.1,0.74
Burnout,2001,Racing,Acclaim Entertainment,0.36,0.28,0,0.1,0.74
Tiger Woods PGA Tour 2001,2001,Sports,Electronic Arts,0.36,0.28,0,0.09,0.74
Katamari Damacy,2004,Puzzle,Namco Bandai Games,0.47,0.02,0.17,0.08,0.73
Shaun Palmer's Pro Snowboarder,2001,Sports,Codemasters,0.36,0.28,0,0.09,0.73
Ultimate Spider-Man,2005,Action,Activision,0.6,0.02,0,0.1,0.72
NBA Live 08,2007,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72
Tiger Woods PGA Tour 07,2006,Sports,Electronic Arts,0.6,0.02,0,0.1,0.72
Jampack Winter 2001,2001,Misc,Sony Computer Entertainment,0.35,0.28,0,0.09,0.72
Mobile Suit Gundam: Encounters in Space,2003,Simulation,Namco Bandai Games,0.05,0.04,0.61,0.01,0.72
Virtua Fighter 4: Evolution,2003,Fighting,Sega,0.35,0.27,0,0.09,0.71
Super Trucks Racing,2002,Racing,Jester Interactive,0.35,0.27,0,0.09,0.71
Silent Hill 3,2003,Action,Konami Digital Entertainment,0.35,0.27,0,0.09,0.71
Power Rangers: Dino Thunder,2004,Action,THQ,0.35,0.27,0,0.09,0.71
Kill.Switch,2003,Shooter,Sony Computer Entertainment,0.34,0.27,0,0.09,0.7
SplashDown,2001,Racing,Atari,0.34,0.27,0,0.09,0.7
NASCAR 2001,2000,Racing,Electronic Arts,0.34,0.27,0,0.09,0.7
Mafia,2004,Action,Illusion Softworks,0.34,0.27,0,0.09,0.7
Mobile Suit Gundam: Journey to Jaburo,2000,Simulation,Namco Bandai Games,0.16,0.13,0.36,0.04,0.7
TimeSplitters 2,2002,Shooter,Eidos Interactive,0.34,0.27,0,0.09,0.7
Mortal Kombat: Shaolin Monks,2005,Action,Midway Games,0.58,0.02,0,0.09,0.69
Baldur's Gate: Dark Alliance II,2004,Role-Playing,Interplay,0.34,0.26,0,0.09,0.68
Prince of Persia: The Two Thrones,2005,Action,Ubisoft,0.57,0.02,0,0.09,0.68
Tourist Trophy: The Real Riding Simulator,2006,Racing,Sony Computer Entertainment,0.28,0.22,0.11,0.07,0.68
.hack//Mutation Part 2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68
Midway Arcade Treasures 2,2004,Misc,Midway Games,0.33,0.26,0,0.09,0.68
Armored Core 3,2002,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67
The Fairly Odd Parents: Breakin Da Rules,2003,Platform,THQ,0.33,0.25,0,0.09,0.67
Tony Hawk's Proving Ground,2007,Sports,Activision,0.55,0.02,0,0.09,0.66
MLB 2004,2003,Sports,Sony Computer Entertainment,0.32,0.25,0,0.08,0.66
Naruto Shippuden: Ultimate Ninja 4,2007,Fighting,Atari,0.26,0.01,0.13,0.26,0.66
NCAA March Madness 2003,2002,Sports,Electronic Arts,0.32,0.25,0,0.08,0.66
Thrillville,2006,Strategy,Atari,0.55,0.02,0,0.09,0.66
Jikkyou World Soccer 2000 Final Edition,2000,Sports,Konami Digital Entertainment,0,0,0.66,0,0.66
Street Fighter Anniversary Collection,2004,Fighting,Capcom,0.32,0.25,0,0.08,0.66
Suikoden IV,2004,Role-Playing,Konami Digital Entertainment,0.17,0.13,0.3,0.05,0.66
Kung Fu Panda,2008,Action,Activision,0.24,0,0,0.41,0.65
Radiata Stories,2005,Role-Playing,Square Enix,0.18,0.14,0.29,0.05,0.65
Disney's Chicken Little,2005,Platform,Disney Interactive Studios,0.32,0.25,0,0.08,0.65
Monster Jam: Maximum Destruction,2002,Racing,Ubisoft,0.32,0.25,0,0.08,0.65
Drakengard,2003,Role-Playing,Square Enix,0.19,0.15,0.26,0.05,0.65
SingStar Pop Hits,2007,Misc,Sony Computer Entertainment,0,0.5,0,0.15,0.65
Champions: Return to Arms,2005,Role-Playing,Sony Online Entertainment,0.32,0.25,0,0.08,0.65
Harry Potter and the Goblet of Fire,2005,Action,Electronic Arts,0.54,0.02,0,0.09,0.65
SingStar R&B,2007,Misc,Sony Computer Entertainment,0,0.05,0,0.6,0.65
Super Robot Taisen Impact,2002,Strategy,Banpresto,0,0,0.65,0,0.65
Harry Potter and the Half-Blood Prince,2009,Action,Electronic Arts,0.13,0.07,0,0.44,0.64
Spyro: A Hero's Tail,2004,Platform,Vivendi Games,0.32,0.25,0,0.08,0.64
Crash: Twinsanity,2004,Platform,Vivendi Games,0.32,0.25,0,0.08,0.64
GoldenEye: Rogue Agent,2004,Shooter,Electronic Arts,0.54,0.02,0,0.09,0.64
X2: Wolverine's Revenge,2003,Platform,Activision,0.31,0.24,0,0.08,0.64
Onimusha: Dawn of Dreams,2006,Action,Capcom,0.15,0.12,0.34,0.04,0.64
Jampack Volume 13 (RP-T),2005,Misc,Sony Computer Entertainment,0.31,0.24,0,0.08,0.64
Lemony Snicket's A Series of Unfortunate Events,2004,Platform,Activision,0.31,0.24,0,0.08,0.64
X-Men Legends II: Rise of Apocalypse,2005,Role-Playing,Activision,0.53,0.02,0,0.09,0.63
SingStar Queen,2009,Misc,Sony Computer Entertainment,0.08,0.12,0,0.44,0.63
Monster Hunter 2,N/A,Role-Playing,Capcom,0,0,0.63,0,0.63
NASCAR 06: Total Team Control,2005,Racing,Electronic Arts,0.53,0.02,0,0.09,0.63
Mobile Suit Z Gundam: AEUG vs. Titans,2003,Fighting,Namco Bandai Games,0,0,0.63,0,0.63
Ape Escape 2,2002,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63
Shin Megami Tensei: Persona 3 FES,2007,Role-Playing,Tecmo Koei,0.22,0.2,0.16,0.05,0.63
FIFA Soccer 2002,2001,Sports,Electronic Arts,0.31,0.24,0,0.08,0.63
Okami,2006,Action,Capcom,0.11,0.03,0.15,0.34,0.63
Wild ARMs 3,2002,Role-Playing,Ubisoft,0.16,0.13,0.29,0.04,0.62
Tak 2: The Staff of Dreams,2004,Platform,THQ,0.3,0.24,0,0.08,0.62
Strike Force Bowling,2004,Sports,Play It,0.3,0.24,0,0.08,0.62
XGRA: Extreme G-Racing Association,2004,Racing,Eidos Interactive,0.3,0.24,0,0.08,0.62
SingStar Singalong With Disney,2008,Misc,Sony Computer Entertainment,0,0.04,0,0.57,0.61
Samurai Warriors 2,2006,Action,Tecmo Koei,0.02,0.02,0.57,0.01,0.61
Robotech: Battlecry,2002,Shooter,TDK Mediactive,0.3,0.23,0,0.08,0.61
Time Crisis 3,2003,Shooter,Namco Bandai Games,0.3,0.23,0,0.08,0.61
Naruto: Ultimate Ninja,2003,Fighting,Atari,0.5,0.02,0,0.08,0.61
Shadow The Hedgehog,2005,Platform,Sega,0.5,0.02,0,0.08,0.6
Backyard Wrestling: Don't Try This at Home,2003,Fighting,Eidos Interactive,0.3,0.23,0,0.08,0.6
NBA 2K8,2007,Sports,Take-Two Interactive,0.5,0.02,0,0.08,0.6
Secret Agent Clank,2009,Platform,Sony Computer Entertainment,0.13,0.18,0,0.29,0.6
Rayman Arena,2001,Racing,Ubisoft,0.29,0.23,0,0.08,0.6
Jaws Unleashed,2006,Action,THQ,0.5,0.02,0,0.08,0.6
Half-Life,2001,Shooter,Vivendi Games,0.29,0.23,0,0.08,0.6
NASCAR Heat 2002,2001,Racing,Infogrames,0.29,0.23,0,0.08,0.6
Major League Baseball 2K7,2007,Sports,Spike,0.29,0.23,0,0.08,0.6
Dai-2-Ji Super Robot Taisen α,2003,Strategy,Banpresto,0,0,0.6,0,0.6
Hot Wheels: Stunt Track Challenge,2004,Racing,THQ,0.29,0.23,0,0.08,0.59
Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,2005,Strategy,Banpresto,0,0,0.59,0,0.59
Rock Band 2,2008,Misc,MTV Games,0.29,0.23,0,0.08,0.59
2002 FIFA World Cup,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59
Tales of Rebirth,2004,Role-Playing,Namco Bandai Games,0,0,0.59,0,0.59
Silent Hill: Shattered Memories,2010,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59
Mega Man Anniversary Collection,2004,Platform,Capcom,0.29,0.22,0,0.08,0.59
Backyard NBA Basketball,2003,Sports,Atari,0.29,0.22,0,0.07,0.59
Mega Man X7,2003,Action,Capcom,0.22,0.17,0.14,0.06,0.58
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,2008,Action,THQ,0.29,0.22,0,0.07,0.58
Romancing SaGa,2005,Role-Playing,Square Enix,0.06,0.04,0.47,0.01,0.58
The Lord of the Rings: The Third Age,2004,Role-Playing,Electronic Arts,0.49,0.02,0,0.08,0.58
Terminator 3: Rise of the Machines,2003,Action,Atari,0.28,0.22,0,0.07,0.58
NASCAR: Dirt to Daytona,N/A,Racing,Unknown,0.28,0.22,0,0.07,0.58
Unreal Tournament,2000,Shooter,Infogrames,0.28,0.22,0,0.07,0.58
Xenosaga Episode II: Jenseits von Gut und Böse,2004,Role-Playing,Sony Computer Entertainment,0.28,0.22,0,0.07,0.58
Contra: Shattered Soldier,2002,Shooter,Konami Digital Entertainment,0.28,0.22,0,0.07,0.58
Naruto: Uzumaki Chronicles 2,2006,Action,Namco Bandai Games,0.28,0.22,0,0.07,0.58
NHL 06,2005,Sports,Electronic Arts,0.48,0.02,0,0.08,0.58
NCAA Football 10,2009,Sports,Electronic Arts,0.28,0.22,0,0.07,0.58
Hasbro Family Game Night,2008,Puzzle,Electronic Arts,0.28,0.22,0,0.07,0.57
Tales of the Abyss,2005,Role-Playing,Namco Bandai Games,0,0,0.57,0,0.57
Ben 10: Alien Force,2008,Action,Koch Media,0.22,0.02,0,0.33,0.57
Naruto: Ultimate Ninja 2,2004,Fighting,Namco Bandai Games,0.47,0.02,0,0.08,0.57
Dynasty Warriors 5: Xtreme Legends,2005,Action,Tecmo Koei,0.11,0.08,0.35,0.03,0.57
Jampack Summer 2002,2002,Misc,Sony Computer Entertainment,0.28,0.22,0,0.07,0.57
FIFA World Cup Germany 2006,2006,Sports,Electronic Arts,0.47,0.02,0,0.08,0.57
SD Gundam G Generation Neo,2002,Strategy,Namco Bandai Games,0,0,0.57,0,0.57
Resident Evil Outbreak File #2,2004,Action,Capcom,0.19,0.15,0.17,0.05,0.57
XIII,2003,Shooter,Ubisoft,0.28,0.22,0,0.07,0.57
Odin Sphere,2007,Role-Playing,Square Enix,0.23,0.18,0.09,0.06,0.56
Arena Football,2006,Sports,Electronic Arts,0.28,0.22,0,0.07,0.56
NHL Hitz 20-02,2001,Sports,Midway Games,0.28,0.22,0,0.07,0.56
NCAA March Madness 07,2007,Sports,Electronic Arts,0.28,0.22,0,0.07,0.56
Harry Potter Collection,2006,Misc,Electronic Arts,0.28,0.21,0,0.07,0.56
Cabela's Big Game Hunter 2005 Adventures,2004,Sports,Activision,0.28,0.21,0,0.07,0.56
Knockout Kings 2001,2001,Fighting,Electronic Arts,0.28,0.21,0,0.07,0.56
Petz Dogz 2,2007,Simulation,Ubisoft,0.28,0.21,0,0.07,0.56
All-Star Baseball 2002,2001,Sports,Acclaim Entertainment,0.27,0.21,0,0.07,0.56
Manhunt 2,2007,Action,Take-Two Interactive,0.27,0.21,0,0.07,0.56
Fullmetal Alchemist and the Broken Angel,2003,Role-Playing,Square Enix,0.15,0.12,0.26,0.04,0.56
Batman Begins,2005,Action,Electronic Arts,0.27,0.21,0,0.07,0.56
Dr. Seuss' The Cat in the Hat,2003,Misc,Vivendi Games,0.27,0.21,0,0.07,0.56
ESPN NFL Football,2003,Sports,Sega,0.27,0.21,0,0.07,0.56
Soldier of Fortune: Gold Edition,2001,Shooter,Codemasters,0.27,0.21,0,0.07,0.56
MX 2002 Featuring Ricky Carmichael,2001,Racing,THQ,0.27,0.21,0,0.07,0.56
Soul Reaver 2,2001,Action,Eidos Interactive,0.27,0.21,0,0.07,0.55
Metal Gear Solid 3: Subsistence,2005,Action,Konami Digital Entertainment,0.34,0.01,0.15,0.06,0.55
Extermination,2001,Action,Sony Computer Entertainment,0.21,0.16,0.12,0.05,0.55
Batman: Vengeance,2001,Adventure,Ubisoft,0.27,0.21,0,0.07,0.55
Derby Stallion 04,2004,Sports,Enterbrain,0,0,0.55,0,0.55
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,2002,Sports,Sega,0,0,0.55,0,0.55
Jak X: Combat Racing,2005,Racing,Sony Computer Entertainment,0.45,0.02,0,0.07,0.55
American Idol,2003,Misc,Codemasters,0.27,0.21,0,0.07,0.55
Iron Man,2008,Action,Sega,0.36,0,0,0.19,0.54
SingStar Summer Party,2008,Misc,Sony Computer Entertainment,0,0.06,0,0.48,0.54
Gekikuukan Pro Yakyuu: At the End of the Century 1999,2000,Sports,SquareSoft,0,0,0.54,0,0.54
Crash Tag Team Racing,2005,Racing,Vivendi Games,0.27,0.21,0,0.07,0.54
Front Mission 4,2003,Strategy,Square Enix,0.14,0.11,0.25,0.04,0.54
SRS: Street Racing Syndicate,2004,Racing,Namco Bandai Games,0.26,0.21,0,0.07,0.54
Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,2002,Role-Playing,Enix Corporation,0,0,0.54,0,0.54
World Soccer Winning Eleven 7 International (JP version),2004,Sports,Konami Digital Entertainment,0,0,0.54,0,0.54
ESPN NBA Basketball,2003,Sports,Sega,0.26,0.21,0,0.07,0.54
Over the Hedge,2006,Platform,Activision,0.45,0.02,0,0.07,0.54
The Hobbit,2003,Platform,Vivendi Games,0.26,0.2,0,0.07,0.54
War of the Monsters,2003,Fighting,Sony Computer Entertainment,0.26,0.2,0,0.07,0.54
The Incredible Hulk: Ultimate Destruction,2005,Action,Vivendi Games,0.26,0.2,0,0.07,0.54
Time Crisis II,2001,Shooter,Namco Bandai Games,0.26,0.2,0,0.07,0.53
NCAA March Madness 06,2005,Sports,Electronic Arts,0.45,0.02,0,0.07,0.53
Jampack Volume 11,2004,Misc,Sony Computer Entertainment,0.26,0.2,0,0.07,0.53
Legacy of Kain: Defiance,2003,Action,Eidos Interactive,0.26,0.2,0,0.07,0.53
NCAA March Madness 2005,2004,Sports,Electronic Arts,0.44,0.02,0,0.07,0.53
Conflict: Vietnam,2004,Shooter,SCi,0.26,0.2,0,0.07,0.53
MLB SlugFest 20-04,2003,Sports,Midway Games,0.26,0.2,0,0.07,0.53
NASCAR 09,2008,Racing,Electronic Arts,0.26,0.2,0,0.07,0.53
Ty the Tasmanian Tiger 2: Bush Rescue,2004,Platform,Electronic Arts,0.26,0.2,0,0.07,0.53
NBA 06,2005,Sports,Sony Computer Entertainment,0.26,0.2,0,0.07,0.53
Oni,2001,Action,Take-Two Interactive,0.26,0.2,0,0.07,0.53
Juiced,2005,Racing,THQ,0.26,0.2,0,0.07,0.53
The Warriors,2005,Action,Take-Two Interactive,0.44,0.02,0,0.07,0.53
Return to Castle Wolfenstein: Operation Resurrection,2003,Shooter,Activision,0.26,0.2,0,0.07,0.53
Tales of Destiny,2006,Role-Playing,Namco Bandai Games,0,0,0.52,0,0.52
The Golden Compass,2007,Action,Sega,0.13,0,0,0.39,0.52
Metal Gear Solid 2: Substance,2002,Action,Konami Digital Entertainment,0.18,0.14,0.16,0.05,0.52
We Love Katamari,2005,Puzzle,Electronic Arts,0.26,0.2,0,0.07,0.52
Swing Away Golf,2000,Sports,Electronic Arts,0.17,0.13,0.18,0.04,0.52
J-League Pro Soccer Club o Tsukurou! 3,2003,Sports,Sega,0,0,0.52,0,0.52
Tomb Raider: Legend,2006,Action,Eidos Interactive,0.25,0.19,0.02,0.06,0.52
Freedom Fighters,2003,Shooter,Electronic Arts,0.25,0.2,0,0.07,0.52
The Punisher,2005,Action,THQ,0.25,0.2,0,0.07,0.52
SSX On Tour,2005,Sports,Electronic Arts,0.25,0.2,0,0.07,0.52
Jampack Winter 2002,2002,Misc,Sony Computer Entertainment,0.25,0.2,0,0.07,0.52
Way of the Samurai,2002,Action,Eidos Interactive,0.13,0.1,0.25,0.03,0.51
